label 1271, frequency 31
label 1274, frequency 24
label 1275, frequency 3
label 1277, frequency 27
label 1278, frequency 14
label 1280, frequency 271
label 1281, frequency 6
label 1284, frequency 289
label 1285, frequency 73
label 1287, frequency 29
label 1290, frequency 4
label 1291, frequency 25
label 1294, frequency 11
label 1295, frequency 52
label 1296, frequency 4
label 1297, frequency 5
label 1298, frequency 51
label 1299, frequency 79
label 1303, frequency 14
label 1309, frequency 11
label 1310, frequency 3
label 1312, frequency 193
label 1313, frequency 21
label 1317, frequency 157
label 1318, frequency 5
label 1319, frequency 53
label 1320, frequency 31
label 1321, frequency 1062
label 1322, frequency 20
label 1323, frequency 9
label 1324, frequency 5
label 1329, frequency 14
label 1331, frequency 75
label 1332, frequency 4
label 1333, frequency 24
label 1335, frequency 44
label 1336, frequency 6
label 1341, frequency 60
label 1343, frequency 50
label 1345, frequency 79
label 1348, frequency 28
label 1349, frequency 71
label 1350, frequency 50
label 1351, frequency 27
label 1355, frequency 14
label 1357, frequency 3
label 1360, frequency 179
label 1361, frequency 9
label 1363, frequency 249
label 1365, frequency 11
label 1367, frequency 152
label 1369, frequency 70
label 1370, frequency 160
label 1371, frequency 8
label 1374, frequency 197
label 1376, frequency 12
label 1383, frequency 574
label 1385, frequency 11
label 1388, frequency 160
label 1389, frequency 5
label 1390, frequency 135
label 1392, frequency 8
label 1393, frequency 30
label 1395, frequency 134
label 1396, frequency 3
label 1397, frequency 57
label 1398, frequency 46
label 1400, frequency 4
label 1402, frequency 47
label 1404, frequency 36
label 1407, frequency 20
label 1409, frequency 34
label 1413, frequency 39
label 1414, frequency 87
label 1418, frequency 205
label 1420, frequency 14
label 1424, frequency 89
label 1426, frequency 17
label 1427, frequency 15
label 1429, frequency 56
label 1433, frequency 3
label 1434, frequency 18
label 1435, frequency 96
label 1441, frequency 86
label 1444, frequency 28
label 1448, frequency 17
label 1449, frequency 151
label 1452, frequency 12
label 1455, frequency 42
label 1456, frequency 172
label 1457, frequency 11
label 1460, frequency 70
label 1461, frequency 24
label 1462, frequency 55
label 1463, frequency 66
label 1468, frequency 108
label 1472, frequency 48
label 1475, frequency 270
label 1476, frequency 9
label 1477, frequency 6
label 1478, frequency 102
label 1481, frequency 6
label 1482, frequency 8
label 1484, frequency 5
label 1488, frequency 78
label 1489, frequency 122
label 1492, frequency 20
label 1493, frequency 12
label 1497, frequency 6
label 1499, frequency 77
label 1500, frequency 115
label 1502, frequency 184
label 1503, frequency 99
label 1504, frequency 21
label 1507, frequency 8
label 1509, frequency 36
label 1510, frequency 77
label 1513, frequency 69
label 1514, frequency 97
label 1518, frequency 19
label 1521, frequency 61
label 1524, frequency 64
label 1525, frequency 16
label 1530, frequency 203
label 1532, frequency 90
label 1546, frequency 77
label 1550, frequency 31
label 1554, frequency 9
label 1555, frequency 40
label 1556, frequency 8
label 1557, frequency 110
label 1561, frequency 91
label 1562, frequency 7
label 1564, frequency 26
label 1570, frequency 3
label 1572, frequency 51
label 1573, frequency 145
label 1582, frequency 538
label 1583, frequency 28
label 1585, frequency 6
label 1588, frequency 5
label 1595, frequency 41
label 1596, frequency 504
label 1600, frequency 20
label 1601, frequency 31
label 1605, frequency 53
label 1606, frequency 276
label 1610, frequency 22
label 1613, frequency 7
label 1616, frequency 53
label 1617, frequency 22
label 1620, frequency 6
label 1624, frequency 70
label 1625, frequency 80
label 1627, frequency 25
label 1628, frequency 4
label 1630, frequency 3
label 1632, frequency 50
label 1633, frequency 14
label 1637, frequency 94
label 1638, frequency 220
label 1640, frequency 41
label 1644, frequency 433
label 1646, frequency 12
label 1647, frequency 8
label 1651, frequency 9
label 1656, frequency 23
label 1658, frequency 4
label 1659, frequency 16
label 1661, frequency 19
label 1663, frequency 3
label 1667, frequency 9
label 1669, frequency 701
label 1671, frequency 32
label 1674, frequency 125
label 1682, frequency 17
label 1685, frequency 10
label 1695, frequency 14
label 1696, frequency 127
label 1697, frequency 8
label 1698, frequency 5
label 1700, frequency 21
label 1702, frequency 18
label 1703, frequency 7
label 1704, frequency 22
label 1708, frequency 43
label 1710, frequency 102
label 1717, frequency 3
label 1720, frequency 100
label 1721, frequency 22
label 1724, frequency 49
label 1726, frequency 48
label 1727, frequency 3
label 1729, frequency 12
label 1734, frequency 8
label 1736, frequency 8
label 1739, frequency 76
label 1742, frequency 45
label 1744, frequency 36
label 1747, frequency 7
label 1748, frequency 56
label 1749, frequency 69
label 1757, frequency 5
label 1758, frequency 128
label 1760, frequency 87
label 1762, frequency 17
label 1763, frequency 92
label 1765, frequency 38
label 1766, frequency 61
label 1771, frequency 50
label 1773, frequency 33
label 1775, frequency 3
label 1776, frequency 92
label 1778, frequency 206
label 1779, frequency 30
label 1780, frequency 103
label 1782, frequency 8
label 1783, frequency 3
label 1784, frequency 3
label 1785, frequency 1085
label 1788, frequency 74
label 1789, frequency 9
label 1790, frequency 213
label 1793, frequency 15
label 1794, frequency 65
label 1795, frequency 7
label 1800, frequency 20
label 1808, frequency 3
label 1810, frequency 34
label 1814, frequency 87
label 1815, frequency 60
label 1816, frequency 66
label 1819, frequency 18
label 1821, frequency 19
label 1824, frequency 62
label 1825, frequency 107
label 1828, frequency 20
label 1832, frequency 137
label 1834, frequency 233
label 1836, frequency 25
label 1837, frequency 5
label 1838, frequency 8
label 1841, frequency 9
label 1842, frequency 76
label 1847, frequency 79
label 1849, frequency 5
label 1850, frequency 50
label 1856, frequency 28
label 1858, frequency 43
label 1862, frequency 24
label 1864, frequency 111
label 1866, frequency 185
label 1875, frequency 9
label 1877, frequency 7
label 1885, frequency 98
label 1886, frequency 19
label 1887, frequency 67
label 1889, frequency 5
label 1897, frequency 84
label 1898, frequency 3
label 1900, frequency 21
label 1901, frequency 5
label 1903, frequency 361
label 1910, frequency 157
label 1913, frequency 3
label 1923, frequency 6
label 1924, frequency 24
label 1925, frequency 30
label 1927, frequency 13
label 1929, frequency 11
label 1930, frequency 59
label 1932, frequency 145
label 1933, frequency 7
label 1935, frequency 23
label 1936, frequency 3
label 1939, frequency 4
label 1940, frequency 26
label 1941, frequency 21
label 1948, frequency 19
label 1952, frequency 16
label 1955, frequency 150
label 1957, frequency 5
label 1959, frequency 88
label 1960, frequency 21
label 1961, frequency 101
label 1962, frequency 3
label 1965, frequency 4
label 1970, frequency 24
label 1971, frequency 319
label 1972, frequency 81
label 1974, frequency 4
label 1975, frequency 4
label 1980, frequency 4
label 1983, frequency 67
label 1985, frequency 3
label 1992, frequency 11
label 1993, frequency 432
label 1995, frequency 26
label 1996, frequency 16
label 1998, frequency 85
label 2001, frequency 30
label 2002, frequency 5
label 2004, frequency 9
label 2006, frequency 52
label 2008, frequency 473
label 2009, frequency 8
label 2010, frequency 11
label 2012, frequency 10
label 2015, frequency 185
label 2021, frequency 11
label 2023, frequency 107
label 2025, frequency 69
label 2026, frequency 5
label 2030, frequency 6
label 2032, frequency 75
label 2034, frequency 186
label 2035, frequency 4
label 2036, frequency 25
label 2037, frequency 269
label 2039, frequency 29
label 2043, frequency 626
label 2044, frequency 9
label 2045, frequency 43
label 2048, frequency 55
label 2050, frequency 4
label 2054, frequency 15
label 2055, frequency 26
label 2059, frequency 5
label 2060, frequency 42
label 2066, frequency 23
label 2072, frequency 101
label 2075, frequency 38
label 2077, frequency 27
label 2079, frequency 82
label 2084, frequency 28
label 2086, frequency 60
label 2088, frequency 14
label 2090, frequency 3
label 2092, frequency 64
label 2093, frequency 303
label 2094, frequency 9
label 2097, frequency 8
label 2100, frequency 91
label 2103, frequency 6
label 2107, frequency 82
label 2108, frequency 35
label 2109, frequency 12
label 2110, frequency 17
label 2119, frequency 93
label 2121, frequency 21
label 2123, frequency 30
label 2124, frequency 7
label 2125, frequency 7
label 2127, frequency 995
label 2128, frequency 47
label 2130, frequency 10
label 2136, frequency 16
label 2137, frequency 67
label 2138, frequency 9
label 2144, frequency 71
label 2149, frequency 9
label 2150, frequency 94
label 2151, frequency 72
label 2152, frequency 5
label 2158, frequency 164
label 2163, frequency 27
label 2164, frequency 38
label 2165, frequency 71
label 2168, frequency 13
label 2170, frequency 45
label 2174, frequency 67
label 2176, frequency 24
label 2184, frequency 91
label 2186, frequency 35
label 2188, frequency 77
label 2190, frequency 8
label 2191, frequency 24
label 2196, frequency 45
label 2199, frequency 11
label 2201, frequency 18
label 2203, frequency 5
label 2208, frequency 77
label 2209, frequency 14
label 2210, frequency 19
label 2212, frequency 93
label 2214, frequency 23
label 2217, frequency 6
label 2219, frequency 27
label 2220, frequency 15
label 2221, frequency 18
label 2222, frequency 64
label 2223, frequency 67
label 2225, frequency 5
label 2234, frequency 65
label 2235, frequency 31
label 2239, frequency 4
label 2244, frequency 4
label 2246, frequency 10
label 2248, frequency 96
label 2249, frequency 74
label 2250, frequency 176
label 2255, frequency 14
label 2256, frequency 74
label 2257, frequency 11
label 2258, frequency 5
label 2261, frequency 9
label 2264, frequency 15
label 2267, frequency 101
label 2269, frequency 227
label 2273, frequency 23
label 2276, frequency 3
label 2278, frequency 10
label 2279, frequency 12
label 2283, frequency 18
label 2285, frequency 3
label 2286, frequency 88
label 2291, frequency 129
label 2294, frequency 4
label 2300, frequency 4
label 2306, frequency 3
label 2307, frequency 33
label 2309, frequency 6
label 2313, frequency 34
label 2318, frequency 4
label 2322, frequency 148
label 2324, frequency 161
label 2325, frequency 8
label 2328, frequency 13
label 2329, frequency 4
label 2340, frequency 4
label 2344, frequency 166
label 2350, frequency 3
label 2351, frequency 388
label 2353, frequency 21
label 2355, frequency 36
label 2356, frequency 54
label 2357, frequency 44
label 2360, frequency 7
label 2363, frequency 3
